learner,frac,qini
S-learner,0.8034041224234854,277.94552529182874
S-learner,0.806683322923173,278.1012216404887
S-learner,0.8099625234228607,281.10196987253767
S-learner,0.8132417239225485,278.68020011545127
S-learner,0.8165209244222361,277.31143459107454
S-learner,0.8198001249219238,277.94375595805536
S-learner,0.8230793254216114,280.5265957446809
S-learner,0.8263585259212992,279.68377201287626
S-learner,0.8296377264209869,276.25283018867924
S-learner,0.8329169269206745,279.8302312464749
S-learner,0.8361961274203623,277.56692913385825
S-learner,0.83947532792005,273.8214885282597
S-learner,0.8427545284197376,274.4596100278551
S-learner,0.8460337289194254,273.7317073170732
S-learner,0.8493129294191131,274.52061855670104
S-learner,0.8525921299188007,276.2109503753892
S-learner,0.8558713304184884,276.36801752464396
S-learner,0.8591505309181762,278.57890909090906
S-learner,0.8624297314178638,278.0
S-learner,0.8657089319175515,280.4190407500902
S-learner,0.8689881324172393,281.7458175930923
S-learner,0.8722673329169269,283.1658903618775
S-learner,0.8755465334166146,286.5450000000001
S-learner,0.8788257339163024,285.9280882876468
S-learner,0.88210493441599,290.51782863225117
S-learner,0.8853841349156777,286.3383963263865
S-learner,0.8886633354153654,285.289186333216
S-learner,0.8919425359150531,287.29917529391116
S-learner,0.8952217364147408,288.51232302045094
S-learner,0.8985009369144284,285.07804878048785
S-learner,0.9017801374141162,286.4971369078604
S-learner,0.9050593379138039,288.88116242864555
S-learner,0.9083385384134915,288.6736769522496
S-learner,0.9116177389131792,288.28618025751075
S-learner,0.914896939412867,288.4498459431701
S-learner,0.9181761399125546,291.2415557830092
S-learner,0.9214553404122423,289.8170379187213
S-learner,0.9247345409119301,289.4474174428451
S-learner,0.9280137414116177,288.8129326354888
S-learner,0.9312929419113054,291.18397576165626
S-learner,0.9345721424109932,288.3882274023142
S-learner,0.9378513429106808,288.02037748454984
S-learner,0.9411305434103685,288.8115531879473
S-learner,0.9444097439100562,290.819508958195
S-learner,0.9476889444097439,291.3940797089466
S-learner,0.9509681449094316,291.4393215873539
S-learner,0.9542473454091193,291.65036915504504
S-learner,0.957526545908807,290.8661108386465
S-learner,0.9608057464084947,292.2386308068459
S-learner,0.9640849469081824,290.4011703511053
S-learner,0.9673641474078701,289.0191062176166
S-learner,0.9706433479075578,288.38262835001615
S-learner,0.9739225484072455,287.57432432432427
S-learner,0.9772017489069331,287.998397179035
S-learner,0.9804809494066209,289.8390804597701
S-learner,0.9837601499063086,290.20057306590263
S-learner,0.9870393504059962,289.20180866254157
S-learner,0.990318550905684,287.3984189723319
S-learner,0.9935977514053717,288.24440944881883
S-learner,0.9968769519050593,290.45009416195853
T-learner,0.0,0.0
T-learner,0.003279200499687695,2.0
T-learner,0.00655840099937539,7.0
T-learner,0.009837601499063086,11.695652173913043
T-learner,0.01311680199875078,14.076923076923077
T-learner,0.016396002498438474,13.086206896551724
T-learner,0.01967520299812617,14.068702290076336
T-learner,0.022954403497813865,18.22972972972973
T-learner,0.02623360399750156,20.0
T-learner,0.029512804497189255,19.804347826086957
T-learner,0.03279200499687695,24.333333333333336
T-learner,0.036071205496564646,21.756521739130434
T-learner,0.03935040599625234,24.760956175298805
T-learner,0.04262960649594004,27.229007633587784
T-learner,0.04590880699562773,27.356890459363953
T-learner,0.049188007495315426,25.573770491803273
T-learner,0.05246720799500312,22.436363636363637
T-learner,0.05574640849469082,20.40634005763689
